Sale_Date,Product_Name,Category,Unit_Price,Is_Promotion,Sales_Volume,Lost_Sales,Stock_Quantity,Reorder_Level,Reorder_Quantity,Reorder_Triggered,Days_To_Expiry,Expiration_Date,Status,Day_of_Week,Month,Year,Is_Weekend,Is_Holiday_Period,Inventory_Turnover_Rate
2023-01-01,Whole Milk 1L,Dairy,1.89,False,58,0,1292,315,1350,False,14,2023-01-15,In Stock,Sunday,1,2023,True,False,0.0449
2023-01-01,Cheddar Cheese 200g,Dairy,2.97,True,27,0,633,154,660,False,30,2023-01-31,In Stock,Sunday,1,2023,True,False,0.0427
2023-01-01,Greek Yogurt 500g,Dairy,2.79,False,39,0,861,210,900,False,21,2023-01-22,In Stock,Sunday,1,2023,True,False,0.0453
2023-01-01,Butter 250g,Dairy,2.99,False,26,0,514,126,540,False,60,2023-03-02,In Stock,Sunday,1,2023,True,False,0.0506
2023-01-01,Eggs 12pk,Dairy,3.29,False,43,0,1097,266,1140,False,28,2023-01-29,In Stock,Sunday,1,2023,True,False,0.0392
2023-01-01,White Bread,Bakery,1.99,False,70,0,1580,385,1650,False,7,2023-01-08,In Stock,Sunday,1,2023,True,False,0.0443
2023-01-01,Sourdough Loaf,Bakery,3.99,False,45,0,795,196,840,False,5,2023-01-06,In Stock,Sunday,1,2023,True,False,0.0566
2023-01-01,Croissants 4pk,Bakery,2.49,False,29,0,571,140,600,False,3,2023-01-04,In Stock,Sunday,1,2023,True,False,0.0508
2023-01-01,Bagels 6pk,Bakery,2.99,False,29,0,691,168,720,False,5,2023-01-06,In Stock,Sunday,1,2023,True,False,0.042
2023-01-01,Banana Bread,Bakery,2.97,True,22,0,428,105,450,False,7,2023-01-08,In Stock,Sunday,1,2023,True,False,0.0514
2023-01-01,Chicken Breast 500g,Meat,5.99,False,44,0,1156,280,1200,False,5,2023-01-06,In Stock,Sunday,1,2023,True,False,0.0381
2023-01-01,Ground Beef 500g,Meat,4.99,False,39,0,1011,245,1050,False,4,2023-01-05,In Stock,Sunday,1,2023,True,False,0.0386
2023-01-01,Pork Chops 400g,Meat,3.82,True,25,0,575,140,600,False,5,2023-01-06,In Stock,Sunday,1,2023,True,False,0.0435
2023-01-01,Salmon Fillet 300g,Meat,7.99,False,21,0,729,175,750,False,3,2023-01-04,In Stock,Sunday,1,2023,True,False,0.0288
2023-01-01,Turkey Slices 200g,Meat,3.99,False,16,0,524,126,540,False,7,2023-01-08,In Stock,Sunday,1,2023,True,False,0.0305
2023-01-01,Apples 1kg,Produce,2.49,False,46,0,1454,350,1500,False,21,2023-01-22,In Stock,Sunday,1,2023,True,False,0.0316
2023-01-01,Bananas 1kg,Produce,1.29,False,51,0,1749,420,1800,False,7,2023-01-08,In Stock,Sunday,1,2023,True,False,0.0292
2023-01-01,Broccoli 400g,Produce,1.99,False,37,0,1013,245,1050,False,7,2023-01-08,In Stock,Sunday,1,2023,True,False,0.0365
2023-01-01,Carrots 1kg,Produce,1.49,False,35,0,1165,280,1200,False,21,2023-01-22,In Stock,Sunday,1,2023,True,False,0.03
2023-01-01,Spinach 200g,Produce,1.95,True,23,0,817,196,840,False,5,2023-01-06,In Stock,Sunday,1,2023,True,False,0.0282
2023-01-01,Tomatoes 500g,Produce,2.19,False,52,0,1208,294,1260,False,10,2023-01-11,In Stock,Sunday,1,2023,True,False,0.043
2023-01-01,Strawberries 250g,Produce,3.49,False,29,0,871,210,900,False,5,2023-01-06,In Stock,Sunday,1,2023,True,False,0.0333
2023-01-01,Frozen Pizza,Frozen,4.99,False,34,0,926,224,960,False,365,2024-01-01,In Stock,Sunday,1,2023,True,False,0.0367
2023-01-01,Frozen Peas 500g,Frozen,1.79,False,23,0,817,196,840,False,365,2024-01-01,In Stock,Sunday,1,2023,True,False,0.0282
2023-01-01,Ice Cream 1L,Frozen,3.99,False,34,0,1016,245,1050,False,365,2024-01-01,In Stock,Sunday,1,2023,True,False,0.0335
2023-01-01,Frozen Chips 750g,Frozen,2.49,False,43,0,1157,280,1200,False,365,2024-01-01,In Stock,Sunday,1,2023,True,False,0.0372
